💞央视💞,#genre#
CCTV-央视台球,http://dassby.qqff.top:99/live/央视台球/index.m3u8
CCTV-电视指南,http://dassby.qqff.top:99/live/电视指南/index.m3u8
CCTV-文化精品,http://dassby.qqff.top:99/live/文化精品/index.m3u8
CCTV-高尔夫网球,http://dassby.qqff.top:99/live/高尔夫网球/index.m3u8
//肥羊咪咕
CCTV-1综合,http://bt.fjl626.top:35455/migu/608807420.m3u8?migutoken=eeef55b73bfc33a33db31b05bbc9c2d0163ed4afcbdebaf3e26b31355f4e8c2ea44d5e3057293194edeabc55957c9168213cd100ba21a5506ae3ce55975eb6a24554258d0f17c2c0938d9d30b5
CCTV-2财经,http://bt.fjl626.top:35455/migu/631780532.m3u8?migutoken=f9b3ec7068695dde83565d93b31b0a68a98a3beadfe667eb3d0d1d2d415999eee35987e790f620c1445e0a0a4e4a86c1adefe3f3d2040d45475d5c330b16c552431771bf1207f85176d37dcdd0
CCTV-3综艺,http://bt.fjl626.top:35455/migu/624878271.m3u8?migutoken=fd8a4acaf4d5af800bb8dc77d673075ea8544631f7e294f3d967e07ff3311884e2e808c9988dd92a31cb610010a54efa6bbe98f6a9f021da0d008cc7626775a28a5bc8e8b4f937af4dc818655f
CCTV-4中文国际,http://bt.fjl626.top:35455/migu/631780421.m3u8?migutoken=cfe069385f35bbf055bae7f4edd403394b68cdbcefcccc151c0c146cac0d92a0a9d10a20582fe162b96f77fb7af0f4b2c1206bdab465dc0876bbad0270f44891e78ccb77b7b3d6eea1f5d6698f
CCTV-4中文国际欧洲,http://bt.fjl626.top:35455/migu/608807419.m3u8?migutoken=2a6b77cbb82165d927014685a78dd8079638e10e7dfd201dad2959665975586c3019b3528232b83e7fd5c69100d344904397c832889e352697fc8d5c19ec929ec059d60811f142d9183e2ec448
CCTV-4中文国际美洲,http://bt.fjl626.top:35455/migu/608807416.m3u8?migutoken=834a95c1fda854fa3178e57f576ea15f50256f51fc87e9fbd6577741511cf15346b0c63428a7397b8d45c41495d136de47fc0ecb58a09875daa9275b3439bd6c3a09ba7badb563f61485de06f0
CCTV-5体育,http://bt.fjl626.top:35455/migu/641886683.m3u8?migutoken=72a2226691a868640094d3ffd4f7f89d79683cbbb18a12d6135ce8e50ebf3ebf1ae0068ed5c0b97ca52427ac0283bc6d429ddcaaf19f06355403db7317fdd8161b8bdb8c195105342e8b4eb0fe
CCTV-5⁺体育赛事,http://bt.fjl626.top:35455/migu/641886773.m3u8?migutoken=153adc7508dd1b59eac3f6c27b4f9bb394db191a3e587d4c64f8f600fe6ee7d478c6a66f4b55f01ada21f65cb05d2295de3d2ef3460dc1fa577975566d2401c534ac17e8f155ae7f59b8f866d7
CCTV-6电影,http://bt.fjl626.top:35455/migu/624878396.m3u8?migutoken=6682bbb0b92975c4938e629a2a24e2dd2681688344305015daa46f922b2cc6a78a29675be5297da77613df33cffe5d6b02fe1334efdbde32ee0f420a30266dad6fe87d3ac7bfa3e06bd544001d
CCTV-7国防军事,http://bt.fjl626.top:35455/migu/673168121.m3u8?migutoken=97dcaaa7431ec693b7b59c36481979e893a3acc37718cbce4318d6b5f99ec8976b67f96075068d0fd9aeeaaa2e1e7db321c64f0366db18c5c299d97fd4d4192a9131285fabbd955947fd9bb5ee
CCTV-8电视剧,http://bt.fjl626.top:35455/migu/624878356.m3u8?migutoken=8ca8a393feeadc40c9f61ef132cdde3c30b93f98011cb2006cda9bffb868da1da787ba75eb6878f262d1578202b646e17fb4a80ac91ef3a4cad0c7bcd501d0299d14cbb25a586875aa63a1d84e
CCTV-9纪录,http://bt.fjl626.top:35455/migu/673168140.m3u8?migutoken=16ec2b5a92f077a0a87e1bdb898b122b019c644da972c0316f289b786fd9097de66eb44aa87d5f96e791c078348b61fbb8c6d29df67bcb96ebefb4086c557c1ff72f92d35a2e5613b31e97d007
CCTV-10科教,http://bt.fjl626.top:35455/migu/624878405.m3u8?migutoken=1d8755771656c0f594a9254343a5fa3380c102bdd59499eeaf2b50d4bd36997e18185c3df970ce2cb53f5e49c9ebcf172f6008fdf2673fd385e809b275427df2120005906d9aca43377cc3d497
CCTV-11戏曲,http://bt.fjl626.top:35455/migu/667987558.m3u8?migutoken=8fa31b8c0a9ae7d2e741bf9cf1ad7036aef3ce7ab574900ddec77f619ec0b4e76bb110368a373d3030d64875df6d8b75490fbe7987cc2ff9fc587bf73aedf120cef371db19d96a726ab7de452f
CCTV-12社会与法,http://bt.fjl626.top:35455/migu/673168185.m3u8?migutoken=9ca64366fa534552bcacb28e50cf5e7b27e203c183da959aa222e23fb58eb6fbecbf8c640dfd8b122f6266279f0618ada43f604cd67755752477f8e5c2bf5efd273ed753637cf8b4c58f085e14
CCTV-13新闻,http://bt.fjl626.top:35455/migu/608807423.m3u8?migutoken=f2cfc5c8f1f4a17b3f5a9ed09e154f80670f767accdb13f0a11e626c4de197b378ac7d3b96e5f7dec5f13ec874d94e5fbd53e6614b7b2d08b32e84580b92b4f7d0c22f899583d631820cea821d
CCTV-14少儿,http://bt.fjl626.top:35455/migu/624878440.m3u8?migutoken=925a73f4eaaeccb16e60ded1a7dfa88d2407cb0bb7276d0275762095747dd015ac11d484355c2538987cabb5d7795e46efdcba8d07895da469434e2343abbb878dc06c04c2a12edf477c703b8d
CCTV-15音乐,http://bt.fjl626.top:35455/migu/673168223.m3u8?migutoken=4c8867dbc7c627f69e2fca246129c0b037f0d7b47029e2a76f7fbb36ab21cff16d9bf912419548d55362456889be2ea5f818e23d3efe6238a5b50285031f93e7a52ed870bcfa90e5875922f4b6
CCTV-17农业农村,http://bt.fjl626.top:35455/migu/673168256.m3u8?migutoken=3636ff4fa8ca4abf4f91a20a9c76328bee83caa321dddb789e71941b5552a9bf811872340cd1f2996b9dcadc81ce777c4d1a88dfb0078ea98cb30da4032d6c69978d3fba3a66e30597ed9a3702
CETV-中国教育1,http://bt.fjl626.top:35455/migu/923287154.m3u8?migutoken=d9ead535d1b3a08ac69edcf9b33fb474bf0a5b9507d887ff3261051d4e7aa34a95e6a5e74db6954839bbca923acc7fa21e2c6991f738e13f198d37550e7db0367b7afbaa21e85c8a4cb28a913a
CETV-中国教育2,http://bt.fjl626.top:35455/migu/923287211.m3u8?migutoken=537c09e022de0da35def6993e5d696f864318acc75c379a6b897c7a61601edce5c989a6748e8816f510c65b21f6d29e3915cbcd990ede064019081490ad28905b04c2f99d5414298bb6339d923
CETV-中国教育4,http://bt.fjl626.top:35455/migu/923287339.m3u8?migutoken=e5b4f8560059c666c520d5b6cb6ffb68f3cba0a2a68a745ef82296560ba86fda4703ed6ff9fd582e0564c99004bad2549ebd3031eb2c596b89271ad8b8acef844a81d903b035abc7b8017e1546
CCTV-发现之旅,http://bt.fjl626.top:35455/migu/624878970.m3u8?migutoken=6d18c1fc21f065b0883ad03a8606420984c0039db6ef3c1adedaa337105925af936c40d349801261e00dfbfd7177de04203ce81e5e8d2076ccb449bc5b3108a8270a6cd188dcaee76807a2177d
CCTV-老故事,http://bt.fjl626.top:35455/migu/884121956.m3u8?migutoken=f99b9eb4061c0371ecfc8a37c024b0e35a53349300d0e3f8c5ec4e386a3f2214dde157db42eefdc00acea0c36b384acbe70bdcd93ebe5af52d725bd2fb921d7413a083591c2ae321c7bcdd5283
CCTV-中学生,http://bt.fjl626.top:35455/migu/708869532.m3u8?migutoken=5d1023b4dbbf0956e436fb4c3d09cefb842c2a4d663f5824ac49cfa4491637e6d738459aa097bd4b1c25b0339de85e65c6386cd1f584eb894aebd7a69887f0fb9a07c688e1eb5bdd357f69ae92
CGTN-新闻,http://bt.fjl626.top:35455/migu/609017205.m3u8?migutoken=825986d645a59f3a7a36b1fc82da74a4c0c77e51976741451838376c2625e9d3bd8e04de8c8b99f33c117f8a4239ca262252632adb4deedb8a956db7cf0396ee0f8c2a17247378451f6fb8867c
CGTN-纪录,http://bt.fjl626.top:35455/migu/609006487.m3u8?migutoken=1bd1fe4aa071332ec5ad5ecfba9437321246e9dfab9573e098d05543cdef767af73bb7752b03683cded8a8ff94cf214fde6884a76a2bfc446600dbea60d90cadc342b8a40027f49167463444ce
CGTN-俄语,http://bt.fjl626.top:35455/migu/609006446.m3u8?migutoken=e847a63fbe8ad5a10a3dba3fe6aef19ecd078ac5bd487b161c13f630213a90f2365ef922e640deaa4e72d446812255b1129240e8b0722d1d579dba8430d232c8ec31880ef60f23a1e09e443747
CGTN-法语,http://bt.fjl626.top:35455/migu/609006476.m3u8?migutoken=c4a2067b02401ec50d6b4a818282f64a3316dfaade96e1d99005e895890215ddfd36bf0bbbb9ddbcd1f47c80605b0b0d3400447c88b49d71cda6c92f23838d87b7d9d7854c53966e2d6f05d7b7
CGTN-西班牙语,http://bt.fjl626.top:35455/migu/609006450.m3u8?migutoken=be91bf6d7a7d3a97dd7d1af221a71bf55be2d9201917706f81ce67de2999392387a01cf3143e90dcef6d9a67f42d23874e5e2f4343439602960e5fafbc8c87ff09beda2fc62ffbe3b0a093553d
CGTN-阿拉伯语,http://bt.fjl626.top:35455/migu/609154345.m3u8?migutoken=bd09593cf90e827d92664c7c6e56f380971a808ffc1c75d6197df709e33f662198484d397e990d79b681802035c0d99367167b6384346a452c34f851d59466bab17d3f6b68fdb63b88a03337ff
//河北联通
CCTV-1综合,http://60.8.75.178:9002/hls/1/index.m3u8
CCTV-2财经,http://60.8.75.178:9002/hls/2/index.m3u8
CCTV-3综艺,http://60.8.75.178:9002/hls/3/index.m3u8
CCTV-4中文国际,http://60.8.75.178:9002/hls/4/index.m3u8
CCTV-5体育,http://60.8.75.178:9002/hls/7/index.m3u8
CCTV-5⁺体育赛事,http://60.8.75.178:9002/hls/17/index.m3u8
CCTV-6电影,http://60.8.75.178:9002/hls/6/index.m3u8
CCTV-7国防军事,http://60.8.75.178:9002/hls/9/index.m3u8
CCTV-8电视剧,http://60.8.75.178:9002/hls/8/index.m3u8
CCTV-9纪录,http://60.8.75.178:9002/hls/51/index.m3u8
CCTV-10科教,http://60.8.75.178:9002/hls/10/index.m3u8
CCTV-11戏曲,http://60.8.75.178:9002/hls/11/index.m3u8
CCTV-12社会与法,http://60.8.75.178:9002/hls/12/index.m3u8
CCTV-13新闻,http://60.8.75.178:9002/hls/13/index.m3u8
CCTV-14少儿,http://60.8.75.178:9002/hls/14/index.m3u8
CCTV-15音乐,http://60.8.75.178:9002/hls/15/index.m3u8
CGTN-新闻,http://60.8.75.178:9002/hls/16/index.m3u8
//推流
CCTV-1综合,http://111.43.126.240:9003/hls/13/index.m3u8
CCTV-2财经,http://111.43.126.240:9003/hls/14/index.m3u8
CCTV-3综艺,http://111.43.126.240:9003/hls/15/index.m3u8
CCTV-4中文国际,http://111.43.126.240:9003/hls/16/index.m3u8
CCTV-5体育,http://111.43.126.240:9003/hls/17/index.m3u8
CCTV-5⁺体育赛事,http://111.43.126.240:9003/hls/18/index.m3u8
CCTV-6电影,http://111.43.126.240:9003/hls/19/index.m3u8
CCTV-7国防军事,http://111.43.126.240:9003/hls/20/index.m3u8
CCTV-8电视剧,http://111.43.126.240:9003/hls/21/index.m3u8
CCTV-9纪录,http://111.43.126.240:9003/hls/22/index.m3u8
CCTV-10科教,http://111.43.126.240:9003/hls/23/index.m3u8
CCTV-11戏曲,http://111.43.126.240:9003/hls/24/index.m3u8
CCTV-12社会与法,http://111.43.126.240:9003/hls/25/index.m3u8
CCTV-13新闻,http://111.43.126.240:9003/hls/26/index.m3u8
CCTV-14少儿,http://111.43.126.240:9003/hls/27/index.m3u8
CCTV-15音乐,http://111.43.126.240:9003/hls/28/index.m3u8
CCTV-16奥林匹克,http://111.43.126.240:9003/hls/29/index.m3u8
CCTV-17农业农村,http://111.43.126.240:9003/hls/30/index.m3u8
CETV-中国教育1,http://111.43.126.240:9003/hls/34/index.m3u8
CETV-中国教育4,http://111.43.126.240:9003/hls/36/index.m3u8

CCTV-1综合,http://1.24.190.122:1080/hls/1/index.m3u8
CCTV-2财经,http://1.24.190.122:1080/hls/2/index.m3u8
CCTV-3综艺,http://1.24.190.122:1080/hls/3/index.m3u8
CCTV-4中文国际,http://1.24.190.122:1080/hls/4/index.m3u8
CCTV-5体育,http://1.24.190.122:1080/hls/5/index.m3u8
CCTV-5⁺体育赛事,http://1.24.190.122:1080/hls/16/index.m3u8
CCTV-6电影,http://1.24.190.122:1080/hls/6/index.m3u8
CCTV-7国防军事,http://1.24.190.122:1080/hls/7/index.m3u8
CCTV-8电视剧,http://1.24.190.122:1080/hls/8/index.m3u8
CCTV-9纪录,http://1.24.190.122:1080/hls/9/index.m3u8
CCTV-10科教,http://1.24.190.122:1080/hls/10/index.m3u8
CCTV-11戏曲,http://1.24.190.122:1080/hls/11/index.m3u8
CCTV-12社会与法,http://1.24.190.122:1080/hls/12/index.m3u8
CCTV-13新闻,http://1.24.190.122:1080/hls/13/index.m3u8
CCTV-14少儿,http://1.24.190.122:1080/hls/14/index.m3u8
CCTV-15音乐,http://1.24.190.122:1080/hls/15/index.m3u8
CETV-中国教育1,http://1.24.190.122:1080/hls/17/index.m3u8
CETV-中国教育2,http://1.24.190.122:1080/hls/18/index.m3u8
CETV-中国教育3,http://1.24.190.122:1080/hls/19/index.m3u8
CGTN-新闻,http://1.24.190.122:1080/hls/20/index.m3u8
CCTV-1综合,http://1.196.206.118:808/hls/1/index.m3u8
CCTV-2财经,http://1.196.206.118:808/hls/2/index.m3u8
CCTV-3综艺,http://1.196.206.118:808/hls/3/index.m3u8
CCTV-4中文国际,http://1.196.206.118:808/hls/4/index.m3u8
CCTV-5体育,http://1.196.206.118:808/hls/5/index.m3u8
CCTV-5⁺体育赛事,http://1.196.206.118:808/hls/18/index.m3u8
CCTV-6电影,http://1.196.206.118:808/hls/6/index.m3u8
CCTV-7国防军事,http://1.196.206.118:808/hls/7/index.m3u8
CCTV-8电视剧,http://1.196.206.118:808/hls/8/index.m3u8
CCTV-9纪录,http://1.196.206.118:808/hls/9/index.m3u8
CCTV-10科教,http://1.196.206.118:808/hls/10/index.m3u8
CCTV-11戏曲,http://1.196.206.118:808/hls/11/index.m3u8
CCTV-12社会与法,http://1.196.206.118:808/hls/12/index.m3u8
CCTV-13新闻,http://1.196.206.118:808/hls/13/index.m3u8
CCTV-14少儿,http://1.196.206.118:808/hls/14/index.m3u8
CCTV-15音乐,http://1.196.206.118:808/hls/15/index.m3u8
CCTV-17农业农村,http://1.196.206.118:808/hls/17/index.m3u8
//dbdtv
CCTV-1综合,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-1-AVS-4K264.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-2财经,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-2-HD-265-8M.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-3综艺,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-3-AVS-4K264.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-4中文国际,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-4-HD-265-8M.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-5体育,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-5-AVS-4K264.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-5⁺体育赛事,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-5PLUS-HD-265-8M.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-6电影,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-6-AVS-4K264.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-7国防军事,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-7-HD-265-8M.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-8电视剧,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-8-AVS-4K264.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-9纪录,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-9-HD-265-8M.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-10科教,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-10-HD-265-8M.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-11戏曲,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=H265-5500k-1080P-cctv11.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-12社会与法,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-12-HD-265-8M.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-13新闻,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-13-HD-265-8M.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-14少儿,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-14-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-15音乐,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=cntv&id=H265-5500k-1080P-cctv15.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-16奥林匹克,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-16-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-17农业农村,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-17-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-4K,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-4K-HD.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-16-4K,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-16-4K.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CETV-早期教育,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CETV-ZQJY-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-第一剧场,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_DIYIJC-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-风云剧场,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_FENGYUNJC-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-怀旧剧场,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_HUAIJIUJC-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-风云音乐,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_FENGYUNYY-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-风云足球,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_FENGSHANGZQ-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-世界地理,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_SHIJIEDL-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-兵器科技,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_BINGQIKJ-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-女性时尚,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_NVXINGSS-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-电视指南,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_DIANSHIZN-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-高尔夫网球,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-GOLF-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-央视台球,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_TAIQIU-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
CCTV-文化精品,http://bt.fjl626.top:6869/k-web/PLTV/ku9/js/lin/dbdtv.js?p=gitv&id=G_CCTV-WENHUA-CQ.m3u8&mac=90:49:92:12:D7:46&tel=13913997749&uid=123108604
//咪咕①
CCTV-1综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-3综艺,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-5体育,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-6电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-7国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-8电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-9纪录,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10科教,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11戏曲,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-16奥林匹克,http://z.b.bkpcp.top/m.php?id=cctv16
CCTV-17农业农村,http://z.b.bkpcp.top/m.php?id=cctv17
CCTV-5⁺体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-4中文国际欧洲,http://z.b.bkpcp.top/m.php?id=cctv4a
CCTV-4中文国际美洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV-发现之旅,http://z.b.bkpcp.top/m.php?id=fxzl
CCTV-老故事,http://z.b.bkpcp.top/m.php?id=lgs
CCTV-中学生,http://z.b.bkpcp.top/m.php?id=zxs
CGTN-新闻,http://z.b.bkpcp.top/m.php?id=cgtn
CGTN-纪录,http://z.b.bkpcp.top/m.php?id=cgtnjl
CGTN-俄语,http://z.b.bkpcp.top/m.php?id=cgtnr
CGTN-西班牙语,http://z.b.bkpcp.top/m.php?id=cgtne
CGTN-法语,http://z.b.bkpcp.top/m.php?id=cgtnf
CGTN-阿拉伯语,http://z.b.bkpcp.top/m.php?id=cgtna
//咪咕②
CCTV-1综合,http://goo.bkpcp.top/mg/cctv1
CCTV-2财经,http://goo.bkpcp.top/mg/cctv2
CCTV-3综艺,http://goo.bkpcp.top/mg/cctv3
CCTV-4中文国际,http://goo.bkpcp.top/mg/cctv4
CCTV-5体育,http://goo.bkpcp.top/mg/cctv5
CCTV-5⁺体育赛事,http://goo.bkpcp.top/mg/cctv5p
CCTV-6电影,http://goo.bkpcp.top/mg/cctv6
